id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
1021	"auping, w.l."	-0.0422	0.2109	6	56	1022	24
1037	"aven, t."	-0.8802	-0.3073	4	24	935	21
1313	"bankes, s.c."	0.027	-0.0148	8	89	8242	266
1768	"ben-haim, y."	-0.1456	-0.1645	1	78	1883	101
1769	"ben-tal, a."	-0.334	0.5413	3	59	1531	46
1984	"bertsimas, d."	-0.3504	0.6142	3	57	1323	41
2015	"beven, k.j."	-0.9218	-0.3014	4	26	498	34
2811	"breiman, l."	-0.0789	0.0999	6	55	734	20
2983	"brown, c."	-0.3872	-0.0209	5	78	3585	60
3075	"bryant, b.p."	-0.2434	0.0892	6	74	2995	62
3600	"carpenter, s.r."	-0.3449	-0.3149	1	65	1083	32
3931	"characklis, g.w."	-0.4731	0.0442	5	60	2100	35
4022	"chen, l."	-0.8322	1.8883	9	10	1081	42
4565	"collins, m.t."	-0.3013	-0.0272	2	81	1816	47
4587	"comes, t."	-0.1314	-0.2065	1	41	265	22
4696	"cootes, t."	11.0779	-0.0447	10	1	525	21
5304	"davis, p.k."	0.4348	-0.0082	3	37	233	22
5448	"de rocquigny, e."	-0.9369	-0.3197	4	7	1980	36
5710	"dessai, s."	-0.3151	-0.0441	2	78	3062	70
6186	"drury, j.l."	-0.1782	-0.4107	1	21	802	38
7318	"fisher, n.i."	-0.2579	0.0934	6	65	1096	29
7433	"folke, c."	-0.3528	-0.3108	1	60	809	20
7703	"friedman, j.h."	-0.2213	0.0745	6	74	1770	46
8298	"gigerenzer, g."	-0.1566	-0.277	1	28	405	29
8940	"grillner, s."	0.2313	0.0139	8	3	4	34
9009	"groves, d.g."	-0.259	-0.0172	2	84	6254	160
9134	"gupta, h.v."	-0.7394	-0.1876	4	37	492	23
9210	"haasnoot, m."	-0.1761	0.1512	3	71	4103	61
9219	"hackbarth, a."	-0.2674	0.111	5	74	1457	25
9236	"hadka, d."	-0.3742	0.1612	5	63	1855	29
9281	"haimes, y.y."	-0.3244	-0.1792	1	55	688	23
9327	"hall, j.w."	-0.2835	0.0462	5	79	1970	44
9338	"hallegatte, s."	-0.2145	-0.1111	2	73	3216	87
9377	"hamarat, c."	-0.1103	0.2214	6	65	1736	35
9948	"helton, j.c."	-0.8948	-0.3142	4	46	1328	25
9990	"henrion, m."	-0.8013	-0.2832	4	41	929	21
10027	"herman, j.d."	-0.4267	0.1062	5	67	1719	26
10390	"holling, c.s."	-0.3312	-0.3166	1	57	816	20
10815	"hulme, m."	-0.2694	-0.0575	2	79	1850	45
11727	"kahneman, d."	-0.1655	-0.2564	1	54	471	23
11953	"kasprzyk, j.r."	-0.4413	0.038	5	71	2263	37
12094	"keeney, r.l."	-0.2528	-0.2349	1	65	626	21
12129	"keller, k."	-0.3435	0.0284	5	74	1865	33
12290	"khan, f.i."	-0.0318	-0.2238	1	5	28	22
12436	"kingsford, r."	-0.3633	-0.3624	1	4	126	21
12552	"klein, g.l."	-0.1764	-0.4067	1	22	696	34
12641	"knopman, d."	-0.3201	-0.102	2	64	725	20
12736	"kollat, j.b."	-0.4967	-0.0344	5	61	1635	29
13041	"kucukvar, m."	1.5569	0.3668	7	11	430	20
13109	"kunreuther, h."	-0.2663	-0.1335	2	43	552	20
13165	"kwakkel, j.h."	0.0124	0.1736	6	78	9304	184
13296	"lambert, j.h."	-0.3288	-0.2364	1	42	643	33
13806	"lempert, r.j."	-0.1775	-0.0055	2	88	19522	556
13884	"lettenmaier, d.p."	-0.3914	-0.1934	2	59	558	22
14206	"linkov, i."	-0.347	-0.2895	1	43	619	22
14277	"liu, y."	-0.284	-0.2854	1	70	735	31
15055	"marchau, v.a.w.j."	-0.0424	0.1564	3	70	2731	51
15971	"middelkoop, h."	-0.1619	0.1717	3	64	1619	21
16446	"morgan, m.g."	-0.2261	-0.1741	1	69	814	29
16860	"nakicenovic, n."	-0.1618	-0.0558	2	63	1072	41
17024	"nemirovski, a."	-0.3022	0.4454	3	59	1169	32
17284	"noori, m."	1.5479	0.3655	7	11	593	29
17837	"pahl-wostl, c."	-0.2555	-0.1452	2	63	435	30
18490	"pfaff, m.s."	-0.1817	-0.4116	1	21	626	26
18816	"popper, s.w."	-0.0958	-0.0371	2	87	5508	167
18850	"possingham, h.p."	-0.2875	-0.3266	1	31	578	32
19017	"pruyt, e."	0.1067	0.1978	6	71	4925	113
19354	"ranger, n."	-0.2673	-0.1704	2	55	975	25
19534	"reed, p.m."	-0.4734	0.0054	5	73	6680	129
19549	"regan, h.m."	-0.2003	-0.2784	1	47	337	22
19720	"riahi, k."	-0.1164	-0.0388	2	35	481	21
20164	"rosenhead, j."	-0.1959	0.0316	3	74	983	25
20225	"rotmans, j."	-0.0991	0.0366	3	58	931	24
20397	"rustem, b."	-0.3805	0.7219	3	7	438	32
20460	"saaty, t.l."	-0.0279	-0.2219	1	28	80	27
20603	"saltelli, a."	-0.7052	-0.2154	4	68	2433	50
20719	"sarewitz, d."	-0.3059	-0.0563	2	71	1336	34
20807	"savage, l.j."	-0.4442	-0.01	4	67	709	25
20988	"schlesinger, m.e."	0.0925	0.0025	8	69	670	27
21880	"sim, m."	-0.3509	0.644	3	52	987	23
21909	"simon, h.a."	-0.1671	-0.1611	1	73	826	27
22671	"sterman, j.d."	-0.0325	0.0766	6	59	1001	29
22742	"stirling, a."	-0.3878	-0.1691	2	28	168	23
22972	"sun, f."	-0.8617	1.9766	9	1	961	31
23272	"tarantola, s."	-0.8275	-0.2661	4	55	1774	30
23292	"tatari, o."	1.5521	0.3661	7	11	617	32
23317	"taylor, c."	11.0313	-0.0448	10	3	528	30
24064	"tversky, a."	-0.1623	-0.252	1	44	495	25
24252	"van asselt, m.b.a."	-0.0445	0.1026	3	59	1284	24
24462	"van vuuren, d.p."	-0.1316	-0.0598	2	51	552	23
24973	"wagener, t."	-0.6587	-0.1828	4	59	1718	40
25017	"wald, a."	-0.252	0.1824	3	60	509	20
25044	"walker, w.e."	-0.108	0.1326	3	81	6608	124
25156	"wang, p."	-0.0854	0.0053	2	66	768	28
25685	"wilby, r.l."	-0.5085	-0.0992	4	68	1169	35
26060	"wright, g."	-0.0801	-0.0976	1	68	1025	30
26286	"yates, d."	-0.3372	-0.2171	2	55	961	26
